Menc_err,r,Menc
10000000.0,0.01000001,30000000.0
200000000.0,0.12,800000000.0
4993173717.535797,8.1,89477974265.52454
4474704828.691238,8.3,110387165118.60463
16729265788.666931,8.4,102392556865.48586
44305665230.62317,19.0,207965457540.35236
268416080431.98663,50.0,539734715807.09045
38526037491.93854,50.0,529739628175.23126
109945960563.60321,50.0,399803492972.61926
39980349303.53577,50.0,419793667704.67896
69965611307.1192,60.0,399803493223.1399
299852619701.6073,80.0,689661025267.3721
899557859157.1943,100.0,1399312225237.7388
199901746447.58527,120.0,539734715319.0323
250000000000.0,150.0,750000000000.0
409798580352.3716,200.0,679665938108.8595
